"",playlist.id,playlist.name,followers.total
84,37i9dQZEVXbKM896FDX8L1,Top 50 - Ireland,239761
85,37i9dQZEVXbJ6IpvItkve3,Top 50 - Israel,48564
86,37i9dQZEVXbIQnj7RRhdSX,Top 50 - Italy,1024980
87,37i9dQZEVXbKXQ4mDTEBXq,Top 50 - Japan,921062
88,37i9dQZEVXbKGcyg6TFGx6,Top 50 - Luxembourg,7350
89,37i9dQZEVXbJlfUljuZExa,Top 50 - Malaysia,201303
90,37i9dQZEVXbO3qyFxbkOE1,Top 50 - Mexico,1557725
91,37i9dQZEVXbJU9eQpX8gPT,Top 50 - Morocco,24223
92,37i9dQZEVXbKCF6dqVpDkS,Top 50 - Netherlands,903769
93,37i9dQZEVXbM8SIrkERIYl,Top 50 - New Zealand,210675
94,37i9dQZEVXbISk8kxnzfCq,Top 50 - Nicaragua,15513
95,37i9dQZEVXbJvfa0Yxg7E7,Top 50 - Norway,520238
96,37i9dQZEVXbKypXHVwk1f0,Top 50 - Panama,93305
97,37i9dQZEVXbJfdy5b0KP7W,Top 50 - Peru,448253
98,37i9dQZEVXbNBz9cRCSFkY,Top 50 - Philippines,1191185
99,37i9dQZEVXbKyJS56d1pgi,Top 50 - Portugal,195306
100,37i9dQZEVXbNZbJ6TZelCq,Top 50 - Romania,27630
101,37i9dQZEVXbLrQBcXqUtaC,Top 50 - Saudi Arabia,5285
102,37i9dQZEVXbK4gjvS1FjPY,Top 50 - Singapore,129399
103,37i9dQZEVXbKIVTPX9a2Sb,Top 50 - Slovakia,20394
104,37i9dQZEVXbMH2jvi6jvjk,Top 50 - South Africa,31039
105,37i9dQZEVXbNxXF4SkHj9F,Top 50 - South Korea,64759
106,37i9dQZEVXbNFJfN1Vw8d9,Top 50 - Spain,1506719
107,6zFJ2HTXC3d38AgpfcPGph,Top 50 - Suriname,98
108,37i9dQZEVXbLoATJ81JYXz,Top 50 - Sweden,601503
109,37i9dQZEVXbJiyhoAPEfMK,Top 50 - Switzerland,119967
110,37i9dQZEVXbMnZEatlMSiu,Top 50 - Taiwan,197375
111,37i9dQZEVXbMnz8KIWsvf9,Top 50 - Thailand,132265
112,37i9dQZEVXbIVYVBNw9D5K,Top 50 - Turkey,777033
113,37i9dQZEVXbM4UZuIrvHvA,Top 50 - UAE,2931
114,37i9dQZEVXbLRQDuF5jeBp,Top 50 - USA,3414289
115,37i9dQZEVXbKkidEfWYRuD,Top 50 - Ukraine,20096
116,37i9dQZEVXbLnolsZ8PSNw,Top 50 - United Kingdom,2180432
117,37i9dQZEVXbLdGSmz6xilI,Top 50 - Vietnam,75302
118,3seAKhZ9QXirBjL9lazOi4,Top 50 - Zimbabwe,64
119,5atgcoJ9pDa39CzCYdXkRi,Top 50 - Polska,756
120,37i9dQZEVXbMMy2roB9myp,Top 50 - Argentina,1264071
121,37i9dQZEVXbJPcfkRz0wJ0,Top 50 - Australia,807681
122,37i9dQZEVXbKNHh6NIXu36,Top 50 - Austria,117967
123,37i9dQZEVXbJNSeeHswcKB,Top 50 - Belgium,267652
124,37i9dQZEVXbJqfMFK4d691,Top 50 - Bolivia,91341
125,37i9dQZEVXbMXbN3EUUhlg,Top 50 - Brazil,3200668
126,37i9dQZEVXbKj23U1GF4IR,Top 50 - Canada,332493
127,37i9dQZEVXbL0GavIqMTeb,Top 50 - Chile,502022
128,37i9dQZEVXbOa2lmxNORXQ,Top 50 - Colombia,770213
129,37i9dQZEVXbMZAjGMynsQX,Top 50 - Costa Rica,138840
130,37i9dQZEVXbL3J0k32lWnN,Top 50 - Denmark,192710
131,37i9dQZEVXbJlM6nvL1nD1,Top 50 - Ecuador,168587
132,37i9dQZEVXbLesry2Qw2xS,Top 50 - Estonia,16934
133,37i9dQZEVXbMxcczTSoGwZ,Top 50 - Finland,131348
134,37i9dQZEVXbIPWwFssbupI,Top 50 - France,816768
135,37i9dQZEVXbJiZcmkrIHGU,Top 50 - Germany,2130045
136,37i9dQZEVXbMDoHDwVN2tF,Top 50 - Global,17007395
137,37i9dQZEVXbJqdarpmTJDL,Top 50 - Greece,79375
138,37i9dQZEVXbLy5tBFyQvd4,Top 50 - Guatemala,74564
139,37i9dQZEVXbLwpL8TjsxOG,Top 50 - Hong Kong,104765
140,37i9dQZEVXbNHwMxAkvmF8,Top 50 - Hungary,68332
141,37i9dQZEVXbKMzVsSGQ49S,Top 50 - Iceland,39726
142,37i9dQZEVXbLZ52XmnySJg,Top 50 - India,350415
143,37i9dQZEVXbObFQZ3JLcXt,Top 50 - Indonesia,620786
144,37i9dQZEVXbKM896FDX8L1,Top 50 - Ireland,239771
145,37i9dQZEVXbJ6IpvItkve3,Top 50 - Israel,48583
146,37i9dQZEVXbIQnj7RRhdSX,Top 50 - Italy,1025093
147,37i9dQZEVXbKXQ4mDTEBXq,Top 50 - Japan,921538
148,37i9dQZEVXbKGcyg6TFGx6,Top 50 - Luxembourg,7351
149,37i9dQZEVXbJlfUljuZExa,Top 50 - Malaysia,201322
150,37i9dQZEVXbO3qyFxbkOE1,Top 50 - Mexico,1558079
151,37i9dQZEVXbJU9eQpX8gPT,Top 50 - Morocco,24257
152,37i9dQZEVXbKCF6dqVpDkS,Top 50 - Netherlands,903750
153,37i9dQZEVXbM8SIrkERIYl,Top 50 - New Zealand,210671
154,37i9dQZEVXbISk8kxnzfCq,Top 50 - Nicaragua,15515
155,37i9dQZEVXbJvfa0Yxg7E7,Top 50 - Norway,520267
156,37i9dQZEVXbKypXHVwk1f0,Top 50 - Panama,93313
157,37i9dQZEVXbJfdy5b0KP7W,Top 50 - Peru,448302
158,37i9dQZEVXbNBz9cRCSFkY,Top 50 - Philippines,1191336
159,37i9dQZEVXbKyJS56d1pgi,Top 50 - Portugal,195322
160,37i9dQZEVXbNZbJ6TZelCq,Top 50 - Romania,27634
