"",playlist.id,playlist.name,followers.total
0,37i9dQZEVXbMMy2roB9myp,Top 50 - Argentina,1277313
1,37i9dQZEVXbJPcfkRz0wJ0,Top 50 - Australia,809144
2,37i9dQZEVXbKNHh6NIXu36,Top 50 - Austria,118050
3,37i9dQZEVXbJNSeeHswcKB,Top 50 - Belgium,267989
4,37i9dQZEVXbJqfMFK4d691,Top 50 - Bolivia,91933
5,37i9dQZEVXbMXbN3EUUhlg,Top 50 - Brazil,3215098
6,37i9dQZEVXbKj23U1GF4IR,Top 50 - Canada,332453
7,37i9dQZEVXbL0GavIqMTeb,Top 50 - Chile,507068
8,37i9dQZEVXbOa2lmxNORXQ,Top 50 - Colombia,775198
9,37i9dQZEVXbMZAjGMynsQX,Top 50 - Costa Rica,139508
10,37i9dQZEVXbL3J0k32lWnN,Top 50 - Denmark,193420
11,37i9dQZEVXbJlM6nvL1nD1,Top 50 - Ecuador,169509
12,37i9dQZEVXbLesry2Qw2xS,Top 50 - Estonia,17004
13,37i9dQZEVXbMxcczTSoGwZ,Top 50 - Finland,132280
14,37i9dQZEVXbIPWwFssbupI,Top 50 - France,818709
15,37i9dQZEVXbJiZcmkrIHGU,Top 50 - Germany,2131881
16,37i9dQZEVXbMDoHDwVN2tF,Top 50 - Global,17034283
17,37i9dQZEVXbJqdarpmTJDL,Top 50 - Greece,80361
18,37i9dQZEVXbLy5tBFyQvd4,Top 50 - Guatemala,74953
19,37i9dQZEVXbLwpL8TjsxOG,Top 50 - Hong Kong,105543
20,37i9dQZEVXbNHwMxAkvmF8,Top 50 - Hungary,68630
21,37i9dQZEVXbKMzVsSGQ49S,Top 50 - Iceland,39792
22,37i9dQZEVXbLZ52XmnySJg,Top 50 - India,358662
23,37i9dQZEVXbObFQZ3JLcXt,Top 50 - Indonesia,625922
24,37i9dQZEVXbKM896FDX8L1,Top 50 - Ireland,240023
25,37i9dQZEVXbJ6IpvItkve3,Top 50 - Israel,49059
26,37i9dQZEVXbIQnj7RRhdSX,Top 50 - Italy,1028620
27,37i9dQZEVXbKXQ4mDTEBXq,Top 50 - Japan,937665
28,37i9dQZEVXbKGcyg6TFGx6,Top 50 - Luxembourg,7394
29,37i9dQZEVXbJlfUljuZExa,Top 50 - Malaysia,202029
30,37i9dQZEVXbO3qyFxbkOE1,Top 50 - Mexico,1568797
31,37i9dQZEVXbJU9eQpX8gPT,Top 50 - Morocco,25427
32,37i9dQZEVXbKCF6dqVpDkS,Top 50 - Netherlands,904326
33,37i9dQZEVXbM8SIrkERIYl,Top 50 - New Zealand,210913
34,37i9dQZEVXbISk8kxnzfCq,Top 50 - Nicaragua,15691
35,37i9dQZEVXbJvfa0Yxg7E7,Top 50 - Norway,522272
36,37i9dQZEVXbKypXHVwk1f0,Top 50 - Panama,93591
37,37i9dQZEVXbJfdy5b0KP7W,Top 50 - Peru,449909
38,37i9dQZEVXbNBz9cRCSFkY,Top 50 - Philippines,1196838
39,37i9dQZEVXbKyJS56d1pgi,Top 50 - Portugal,196277
40,37i9dQZEVXbNZbJ6TZelCq,Top 50 - Romania,27898
41,37i9dQZEVXbLrQBcXqUtaC,Top 50 - Saudi Arabia,5557
42,37i9dQZEVXbK4gjvS1FjPY,Top 50 - Singapore,129749
43,37i9dQZEVXbKIVTPX9a2Sb,Top 50 - Slovakia,20451
44,37i9dQZEVXbMH2jvi6jvjk,Top 50 - South Africa,31451
45,37i9dQZEVXbNxXF4SkHj9F,Top 50 - South Korea,67449
46,37i9dQZEVXbNFJfN1Vw8d9,Top 50 - Spain,1515089
47,6zFJ2HTXC3d38AgpfcPGph,Top 50 - Suriname,115
48,37i9dQZEVXbLoATJ81JYXz,Top 50 - Sweden,603126
49,37i9dQZEVXbJiyhoAPEfMK,Top 50 - Switzerland,120223
50,37i9dQZEVXbMnZEatlMSiu,Top 50 - Taiwan,198631
51,37i9dQZEVXbMnz8KIWsvf9,Top 50 - Thailand,134143
52,37i9dQZEVXbIVYVBNw9D5K,Top 50 - Turkey,779972
53,37i9dQZEVXbM4UZuIrvHvA,Top 50 - UAE,2788
54,37i9dQZEVXbLRQDuF5jeBp,Top 50 - USA,3415388
55,37i9dQZEVXbKkidEfWYRuD,Top 50 - Ukraine,20682
56,37i9dQZEVXbLnolsZ8PSNw,Top 50 - United Kingdom,2180267
57,37i9dQZEVXbLdGSmz6xilI,Top 50 - Vietnam,76100
58,5atgcoJ9pDa39CzCYdXkRi,Top 50 Polska,754
59,3seAKhZ9QXirBjL9lazOi4,Top 50+ Zimbabwe,103
60,1m7Ov4UeE0XYD2P82Qnt8B,Top 50 - Afghanistan,76
61,37i9dQZEVXbMMy2roB9myp,Top 50 - Argentina,1277641
62,37i9dQZEVXbJPcfkRz0wJ0,Top 50 - Australia,809209
63,37i9dQZEVXbKNHh6NIXu36,Top 50 - Austria,118048
64,37i9dQZEVXbJNSeeHswcKB,Top 50 - Belgium,267979
65,37i9dQZEVXbJqfMFK4d691,Top 50 - Bolivia,91946
66,37i9dQZEVXbMXbN3EUUhlg,Top 50 - Brazil,3215672
67,37i9dQZEVXbKj23U1GF4IR,Top 50 - Canada,332463
68,37i9dQZEVXbL0GavIqMTeb,Top 50 - Chile,507238
69,37i9dQZEVXbOa2lmxNORXQ,Top 50 - Colombia,775321
70,37i9dQZEVXbMZAjGMynsQX,Top 50 - Costa Rica,139541
71,37i9dQZEVXbL3J0k32lWnN,Top 50 - Denmark,193449
72,37i9dQZEVXbJlM6nvL1nD1,Top 50 - Ecuador,169538
73,37i9dQZEVXbLesry2Qw2xS,Top 50 - Estonia,17001
74,37i9dQZEVXbMxcczTSoGwZ,Top 50 - Finland,132293
75,37i9dQZEVXbIPWwFssbupI,Top 50 - France,818785
76,37i9dQZEVXbJiZcmkrIHGU,Top 50 - Germany,2131849
77,37i9dQZEVXbMDoHDwVN2tF,Top 50 - Global,17035091
78,37i9dQZEVXbJqdarpmTJDL,Top 50 - Greece,80406
79,37i9dQZEVXbLy5tBFyQvd4,Top 50 - Guatemala,74974
80,37i9dQZEVXbLwpL8TjsxOG,Top 50 - Hong Kong,105562
81,37i9dQZEVXbNHwMxAkvmF8,Top 50 - Hungary,68632
82,37i9dQZEVXbKMzVsSGQ49S,Top 50 - Iceland,39791
83,37i9dQZEVXbLZ52XmnySJg,Top 50 - India,358927
84,37i9dQZEVXbObFQZ3JLcXt,Top 50 - Indonesia,626090
85,37i9dQZEVXbKM896FDX8L1,Top 50 - Ireland,240030
86,37i9dQZEVXbJ6IpvItkve3,Top 50 - Israel,49078
87,37i9dQZEVXbIQnj7RRhdSX,Top 50 - Italy,1028703
88,37i9dQZEVXbKXQ4mDTEBXq,Top 50 - Japan,938147
89,37i9dQZEVXbJWuzDrTxbKS,Top 50 - Latvia,14151
90,37i9dQZEVXbMx56Rdq5lwc,Top 50 - Lithuania,24946
91,37i9dQZEVXbKGcyg6TFGx6,Top 50 - Luxembourg,7393
92,37i9dQZEVXbJlfUljuZExa,Top 50 - Malaysia,202044
93,37i9dQZEVXbO3qyFxbkOE1,Top 50 - Mexico,1569100
94,37i9dQZEVXbJU9eQpX8gPT,Top 50 - Morocco,25467
95,37i9dQZEVXbKCF6dqVpDkS,Top 50 - Netherlands,904346
96,37i9dQZEVXbM8SIrkERIYl,Top 50 - New Zealand,210911
97,37i9dQZEVXbISk8kxnzfCq,Top 50 - Nicaragua,15696
98,37i9dQZEVXbJvfa0Yxg7E7,Top 50 - Norway,522340
99,37i9dQZEVXbKypXHVwk1f0,Top 50 - Panama,93593
100,37i9dQZEVXbJfdy5b0KP7W,Top 50 - Peru,449972
101,37i9dQZEVXbNBz9cRCSFkY,Top 50 - Philippines,1197046
102,37i9dQZEVXbKyJS56d1pgi,Top 50 - Portugal,196302
103,37i9dQZEVXbNZbJ6TZelCq,Top 50 - Romania,27908
104,37i9dQZEVXbLrQBcXqUtaC,Top 50 - Saudi Arabia,5557
105,37i9dQZEVXbK4gjvS1FjPY,Top 50 - Singapore,129752
106,37i9dQZEVXbKIVTPX9a2Sb,Top 50 - Slovakia,20452
107,37i9dQZEVXbMH2jvi6jvjk,Top 50 - South Africa,31466
108,37i9dQZEVXbNxXF4SkHj9F,Top 50 - South Korea,67537
109,37i9dQZEVXbNFJfN1Vw8d9,Top 50 - Spain,1515356
110,6zFJ2HTXC3d38AgpfcPGph,Top 50 - Suriname,116
111,37i9dQZEVXbLoATJ81JYXz,Top 50 - Sweden,603149
112,37i9dQZEVXbJiyhoAPEfMK,Top 50 - Switzerland,120218
113,37i9dQZEVXbMnZEatlMSiu,Top 50 - Taiwan,198711
114,37i9dQZEVXbMnz8KIWsvf9,Top 50 - Thailand,134214
115,37i9dQZEVXbIVYVBNw9D5K,Top 50 - Turkey,780022
116,37i9dQZEVXbM4UZuIrvHvA,Top 50 - UAE,2791
117,37i9dQZEVXbLRQDuF5jeBp,Top 50 - USA,3415476
118,37i9dQZEVXbKkidEfWYRuD,Top 50 - Ukraine,20691
119,37i9dQZEVXbLnolsZ8PSNw,Top 50 - United Kingdom,2180221
120,37i9dQZEVXbMJJi3wgRbAy,Top 50 - Uruguay,103564
121,37i9dQZEVXbLdGSmz6xilI,Top 50 - Vietnam,76134
122,5atgcoJ9pDa39CzCYdXkRi,Top 50 Polska,754
123,3seAKhZ9QXirBjL9lazOi4,Top 50+ Zimbabwe,106
124,1m7Ov4UeE0XYD2P82Qnt8B,Top 50 - Afghanistan,77
125,37i9dQZEVXbMMy2roB9myp,Top 50 - Argentina,1278045
126,37i9dQZEVXbJPcfkRz0wJ0,Top 50 - Australia,809258
127,37i9dQZEVXbKNHh6NIXu36,Top 50 - Austria,118046
128,37i9dQZEVXbJNSeeHswcKB,Top 50 - Belgium,267990
129,37i9dQZEVXbJqfMFK4d691,Top 50 - Bolivia,91974
130,37i9dQZEVXbMXbN3EUUhlg,Top 50 - Brazil,3216373
131,37i9dQZEVXbKj23U1GF4IR,Top 50 - Canada,332445
132,37i9dQZEVXbL0GavIqMTeb,Top 50 - Chile,507448
133,37i9dQZEVXbOa2lmxNORXQ,Top 50 - Colombia,775521
134,37i9dQZEVXbMZAjGMynsQX,Top 50 - Costa Rica,139565
135,37i9dQZEVXbL3J0k32lWnN,Top 50 - Denmark,193463
136,37i9dQZEVXbJlM6nvL1nD1,Top 50 - Ecuador,169570
137,37i9dQZEVXbLesry2Qw2xS,Top 50 - Estonia,17006
138,37i9dQZEVXbMxcczTSoGwZ,Top 50 - Finland,132320
